Entry	Entry Name	Gene Names	Organism
P70194	CLC4F_MOUSE	Clec4f Clecsf13 Kclr	Mus musculus (Mouse)
P70277	SIA7B_MOUSE	St6galnac2 Siat7 Siat7b	Mus musculus (Mouse)
P97435	ENTK_MOUSE	Tmprss15 Entk Prss7	Mus musculus (Mouse)
Q14BT6	A4GCT_MOUSE	A4gnt	Mus musculus (Mouse)
Q14C59	TM11B_MOUSE	Tmprss11b Hatl5 Tmprss11bnl	Mus musculus (Mouse)
Q3UQ41	TM11A_MOUSE	Tmprss11a Desc3 Gm7 Hatl1	Mus musculus (Mouse)
Q5GFD5	HS3S6_MOUSE	Hs3st6	Mus musculus (Mouse)
Q5JCS9	B3GN3_MOUSE	B3gnt3	Mus musculus (Mouse)
Q5UBV8	TNF15_MOUSE	Tnfsf15 Tl1 Vegi	Mus musculus (Mouse)
Q60652	KLRA5_MOUSE	Klra5 Ly-49e Ly49-e Ly49e	Mus musculus (Mouse)
Q60653	KLRA6_MOUSE	Klra6 Ly-49f Ly49-f Ly49F	Mus musculus (Mouse)
Q60660	KLRA2_MOUSE	Klra2 Ly49-b Ly49b	Mus musculus (Mouse)
Q673U1	HS3S2_MOUSE	Hs3st2 3ost2	Mus musculus (Mouse)
Q67BJ4	A4GAT_MOUSE	A4galt	Mus musculus (Mouse)
Q6PDE7	GGT6_MOUSE	Ggt6	Mus musculus (Mouse)
Q6XQH0	G3ST2_MOUSE	Gal3st2 Gm988	Mus musculus (Mouse)
Q766D5	B4GN4_MOUSE	B4galnt4	Mus musculus (Mouse)
Q7M758	NALDL_MOUSE	Naaladl1 Gm964 Naaladasel	Mus musculus (Mouse)
Q80V53	CHSTE_MOUSE	Chst14 D4st1	Mus musculus (Mouse)
Q80XH4	WSCD1_MOUSE	Wscd1 Kiaa0523	Mus musculus (Mouse)
Q8BFZ9	ERLN2_MOUSE	Erlin2 Spfh2	Mus musculus (Mouse)
Q8BG28	B3GL2_MOUSE	B3galnt2	Mus musculus (Mouse)
Q8BGT9	GLT12_MOUSE	Galnt12	Mus musculus (Mouse)
Q8BGY6	B3GN5_MOUSE	B3gnt5	Mus musculus (Mouse)
Q8BKN6	HS3SA_MOUSE	Hs3st3a1 3ost3a1 Hs3st3a	Mus musculus (Mouse)
Q8BQ86	CHST8_MOUSE	Chst8	Mus musculus (Mouse)
Q8BTC1	UQCC6_MOUSE	Uqcc6 Br Brawnin	Mus musculus (Mouse)
Q8BVG5	GLT14_MOUSE	Galnt14	Mus musculus (Mouse)
Q8BX51	SGCZ_MOUSE	Sgcz	Mus musculus (Mouse)
Q8BXA1	GOLI4_MOUSE	Golim4 Df10 Golph4	Mus musculus (Mouse)
Q8C1T8	CLC2H_MOUSE	Clec2h Clrf	Mus musculus (Mouse)
Q8K093	TRHDE_MOUSE	Trhde	Mus musculus (Mouse)
Q8K0J2	B3GN7_MOUSE	B3gnt7	Mus musculus (Mouse)
Q8VBX4	CLC4K_MOUSE	Cd207 Clec4k	Mus musculus (Mouse)
Q8VD98	KLRBF_MOUSE	Klrb1f Nkrp1f	Mus musculus (Mouse)
Q8VDX6	RXLT1_MOUSE	Rxylt1 Tmem5	Mus musculus (Mouse)
Q8VHK8	TM11D_MOUSE	Tmprss11d Mat	Mus musculus (Mouse)
Q8VIB3	SIA10_MOUSE	St3gal6 Siat10	Mus musculus (Mouse)
Q91VC4	PLVAP_MOUSE	Plvap Pv1	Mus musculus (Mouse)
Q91XL3	UXS1_MOUSE	Uxs1	Mus musculus (Mouse)
Q91XQ5	CHSTF_MOUSE	Chst15 Brag Galnac4s6st Kiaa0598	Mus musculus (Mouse)
Q922Q6	ABHEA_MOUSE	Abhd14a Dorz1	Mus musculus (Mouse)
Q99JP7	GGT7_MOUSE	Ggt7 Ggtl3	Mus musculus (Mouse)
Q99KU6	CF089_MOUSE		Mus musculus (Mouse)
Q99ME6	AT1B4_MOUSE	Atp1b4	Mus musculus (Mouse)
Q99MQ5	COPA1_MOUSE	Col25a1	Mus musculus (Mouse)
Q9D676	CLC2G_MOUSE	Clec2g Clec2f Ddv10 Ocilrp1	Mus musculus (Mouse)
Q9D7N9	APMAP_MOUSE	Apmap	Mus musculus (Mouse)
